"filename", "language", "JSON", "YAML", "JavaScript", "SCSS", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 2, 13, 61
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.scss", "SCSS", 0, 0, 0, 48, 0, 0, 0, 0, 19, 12, 79
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-barBackup.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/user-menu/user-menu.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 1, 10, 74
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/user-menu/user-menu.styles.scss", "SCSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/data.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-result.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-saved-palettes.js", "JavaScript", 0, 0, 604, 0, 0, 0, 0, 0, 0, 1, 605
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/firebase/firebase.utils.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 9, 14, 148
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/generator.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 3, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/menu-animate.css", "CSS", 0, 0, 0, 0, 0, 148, 0, 0, 57, 24, 229
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/saved-palettes-animate.css", "CSS", 0, 0, 0, 0, 0, 97, 0, 0, 37, 15, 149
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.js", "JavaScript", 0, 0, 384, 0, 0, 0, 0, 0, 7, 34, 425
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.scss", "SCSS", 0, 0, 0, 68, 0, 0, 0, 0, 18, 14, 100
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarotBackup.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 1, 14, 92
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.actions.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.reducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.selectors.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.types.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/root-reducer.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/store.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/serviceWorker.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 30436, 34, 2693, 836, 367, 527, 37, 39, 310, 595, 35874
