"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/options.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/question-circle-regular.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/readme.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/save-regular.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/search.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/trash-empty.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/undo.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user-solid.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 1, 5, 48
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 39, 0, 1, 5, 45
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 2, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette-animate.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 9, 53
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 1, 9, 87
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 3, 7, 42
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popop.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 1, 10, 69
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popup.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 5, 5, 25
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/search-bar-animate.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 3, 15
